T_i,B_i
64,56760
41875,78111
80956,18676
16546,23940
90276,22708
70276,91943
43762,19495
47215,64106
40731,6887
31548,15223
31506,15876
76124,8879
78607,7692
95884,53210
49911,99635
93970,94915
84175,98314
18793,57875
20388,71876
28564,54822
48352,29890
36985,2064
15189,61059
1868,39380
49799,25701
43870,99561
14783,75275
77801,11087
17309,42769
70687,49556
50546,61801
68057,77136
1348,33164
19013,16496
69980,71642
53555,81633
29428,38761
36007,27597
7842,29995
21463,27390
76030,74797
35560,83177
93212,43994
16133,93379
53637,3573
55625,84134
64735,5896
65613,45201
67504,72024
94306,90661
97713,51814
80367,73047
48875,33391
61568,51037
36025,21680
99056,92479
54543,63071
49216,57424
82996,92019
28474,87705
67266,11839
47754,36131
91288,49635
31456,53297
9531,19790
12379,92417
61888,41828
94307,78630
32300,71208
58738,43098
59321,2091
63398,98341
81136,21861
41700,68868
48172,4515
44085,14192
10836,17938
25898,14696
46573,34298
98536,41801
10322,49713
24591,49916
17094,97949
13304,56179
79380,58724
24631,19951
42110,24808
54562,58443
49538,10189
30361,34458
51099,3832
2700,41158
56294,40404
65572,8752
62724,54151
76186,98015
1105,44871
53367,83211
54544,47017
62065,20011
99248,55320
14326,91009
53330,58749
26108,29135
53071,45506
60513,87080
29320,83742
96046,28655
22279,53222
48722,74567
11008,71396
64715,29837
34740,9301
6322,36520
58646,44207
45000,16646
31861,93054
63053,94204
53230,94269
35159,90507
37012,93529
70514,82894
11420,89950
10265,44317
20742,87651
65050,24018
18774,85586
38080,7932
30552,71602
55701,71850
82908,1670
42186,19303
66918,95391
6733,45287
63429,31922
60875,74078
8677,17941
60346,36569
53109,81320
36515,42061
2249,45307
10692,89294
41072,18523
79689,6511
35553,87303
16841,53015
66097,14543
41490,52958
55564,47373
87210,50061
46439,20637
8733,87133
28696,54923
10763,20096
18520,88838
69458,20849
96820,94803
84542,68181
8985,88811
61583,77474
45176,15720
47415,1745
48492,952
25998,4804
97453,67389
73513,91947
19947,72409
81537,49289
56808,95371
49769,3764
56235,86912
40617,98538
48795,11965
43386,23328
68409,13776
75135,77565
1564,60401
50928,70060
62479,90172
80882,90564
97354,19521
14603,60483
20428,25470
32788,71798
31031,21518
80100,44287
63657,58700
22537,10271
1330,87012
38928,52329
99151,36499
10846,96599
42216,72650
26910,17568
29649,15488
68477,31985
82074,5215
85797,31003
53123,52950
54511,10968
33540,77767
73913,28224
93710,86928
11904,70933
29714,66070
60611,91952
85586,2796
11283,85809
28265,65234
82960,90723
77480,42074
16318,30263
66530,64889
83498,60730
40098,17079
13577,54245
8314,62255
21207,31268
88619,82551
46226,5268
73574,1998
2993,62333
85718,89193
78844,41164
59644,72944
55751,35182
79722,92573
40819,40533
46049,80594
54823,57029
41591,79023
83857,76215
31836,31185
12685,11615
10390,16601
9513,10020
53513,10715
42652,99367
14639,13114
63030,86893
89460,75909
601,62074
17201,36080
36308,20688
4167,52822
74365,94883
16963,83692
43448,88853
4653,40314
95946,99019
29496,4933
24163,19190
7906,94477
92192,19139
30142,29881
43494,26371
1112,53449
16868,67132
34944,88471
41308,19129
42477,41822
81952,92820
